番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
天使特警 剧场版 黎明篇,百合+热血,-,1617,-,2007年9月开播,已完结， 全1话,土井美加、南央美、飛田展男、鈴置洋孝、森川智之、徳永愛、稲田徹,公元已经结束，自从人类开始移民其他星球，新的历法便被称为星历（S.C.）。透过空间跳跃之门相连结的移民星球，各行星间的独立自治体制也已经确立。之后先后成立了「宇宙行星联合」及其旗下各组织，包括本作主角所属的GOTT。ES member是由GOTT之中精选出来，拥有特殊能力的特工人员。在星际之间，ES Member的存在和其惊人的特殊能力虽然众所皆知，但是有关他们的具体活动内容与个人情报却完全未公诸于世。 《天使特警》动画海报(40张)《Kiddy Grade》中的两位女主角-性格开朗直肠子的Eclair，与外表青涩但成熟冷静的Lumiere，正是GOTT的ES member。
VitaminX Addiction,,1.1万,1622,257,2011年8月开播,已完结， 全3话,生天目仁美、鈴木達央、小野大輔、鳥海浩輔、吉野裕行、岸尾だいすけ、菅沼久義,基于人气女性向恋爱游戏《Vitamin》系列之《VitaminX》的OAD动画。
机动警察 OVA2,热血+科幻+机战,1.9万,1614,1677,1990年11月开播,已完结， 全16话,冨永みーな、古川登志夫、池水通洋、井上瑤、二又一成、阪脩、千葉繁、大林隆介、郷里大輔,这一系列作品的故事虽然各自不同，但是情节都共通设定在虚构的1998年到2002年间。日本东京因为温室效应造成的海平面上升而有沉没之虞，所以开始进行所谓巴比伦计划：建造大型海堤封闭东京湾，将湾内的海水抽除之后，再进行填海造陆。巴比伦计划大量引进人类驾驶的大型机器人“Labor”，至此与Labor有关的治安问题也层出不穷。这一系列作品的主要角色就是专门负责这类案件的机动警察特车二课。特车二课第二小队配备先进的警用Labor“Patlabor”（patrol labor之意），与整备班和特车二课第一小队一起驻扎在东京一处偏远的海埔新生地，第一部动画作品于1992下半年分两次播出。
真救世主传说 北斗神拳 拉奥传 激斗之章,热血+时泪,5.6万,1616,1693,2007年4月开播,已完结， 全1话,阿部寛、宇梶剛士、石田ゆり子、坂本真綾、堀内賢雄、太田哲治,该作品讲述了，当世界由于大规模的核战争而遭到毁灭性打击后，人类为了争夺仅有的淡水和食物开始互相抢夺厮杀，为了解救黑暗时代的人们，北斗神拳的继承人健次郎凭借着威力无比的暗杀拳法——北斗神拳，同各种邪恶势力做战斗，最终将光明带回世界。
机器人少女Z+,科幻,29.1万,1605,5635,2015年5月开播,已完结， 全6话,水濑祈、荒浪和沙、内田真礼、矢作纱友里、久野美咲、津田美波,《机器人少女Z》是把位于“机器人动画金字塔顶端”的“魔神系列三部曲”《魔神Z》《大魔神 GREAT MAZINGER》《UFO魔神古兰戴萨》中的机体进行美少女化，并组成最强最凶猛的“机器人少女Z”简称“Z组合”。故事发生在未来，“Z组合”平时在东京练马区大泉学园光子力町进行新型能源“光子能源”的宣传活动，偶尔将前来搞破坏的地下帝国的尖兵（机械兽少女们）揍飞（顺便发泄压力）。是日常搞笑与暴力相结合的动画
机甲创世记,热血+科幻,3.2万,1603,653,1983年10月开播,已完结， 全25话,岛田敏、大山尚雄、土井美加、铃置洋孝、西村知道、室井深雪,公元2050年，迷之生命体インビット（Invade）将地球占领。2080年火星コロニ-（colony）基地残存的人类勇敢的实行了第一次地球作战。最后以失败告终。其后三年，随着モスピ-ダ(Mospeada)等新兵器被不断开发，于是实行了第二次夺回作战。作战当中，在地球着陆失败的スティック（Steik）中尉与在途中遇到的五个伙伴，一起向着北美的敌军总部レフレックス-ポイント（Reflex Point）进发……
破邪大星弹劾凰,机战,2.1万,1602,160,1987年9月开播,已完结， 全3话,,自称宇宙第一天才科学家的达撒恩博士将来自宇宙不同星球的四名青年米娅、罗尔、帕依和兰巴改造成为了拥有超能力的最强战士，并准备将他们卖给宇宙海盗邦卡集团。然而四人中的米娅·艾莉斯却恢复了失去记忆，受她的影响，其他三人也先后恢复了记忆。由于厌恶邦卡的所作所为，四人驾驶达撒恩博士开发的最强机器人弹劾凰逃离了邦卡集团首领卡里莫斯大船长的魔掌。之后四人为了逃避邦卡集团的追击而在宇宙中四处漂泊…… 
雪之女王,少儿,1.4万,1597,184,2005年5月开播,已完结， 全39话,川澄綾子,　　[雪之女王]来自著名童话家安徒生原作。故事讲述的是小小少女歌尔达为了救出被雪女王所带走的男孩，而单身一人踏上旅途的故事。拯救旅途当中，少女遇到了各种各样的困难和窘境。但是歌尔达凭着自己所持的信念勇往直前的继续向前，向前。少女那纯洁朴素勇敢的身影，让所看之人不无为之感动！　　这部作品曾被与迪斯尼的[白雪公主]等著名作品并列，被称作史上最高杰作之一。当我们看到少女歌尔达，就会不由自主的想起日本巨匠宫崎骏的[千与千寻]里面的千寻。　　平凡但是纯朴一颗不惧的心，只是凭着自己的信念一步一步的将面前的困难慢慢变为光明。
鲁邦三世：初次交锋,热血+奇幻+时泪,2.9万,1581,1619,2002年7月开播,已完结， 全1话,栗田贯一、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,“鲁邦三世”是日本动漫界的传奇，有不死传说之喻，漫画作者加藤一彦(Monkey Punch)曾表示，鲁邦三世的冒险精神是他一生追求的，身为漫画家的他，主要的休闲活动就是创作，所有的梦想、幻想都在“鲁邦三世”实现。猴子拳将鲁邦三世塑造成一个让人无法讨厌的怪盗，让读者羡慕鲁邦三世逍遥的生活。鲁邦一行周游于世界各地，不时重操盗窃的老本行。
重装甲少女组,科幻+战斗,1.7万,1580,349,1994年7月开播,已完结， 全13话,吉田小南美、鈴木勝美,美克（Miku）是个热爱新装甲摔角运动的女孩，为了参加女子争霸赛，挑战摔角坛最强的偶像巨星阿格玛琳，展开了地狱式的苦练。在教练的栽培和同伴的支持下，美克冲破了一个个难关。终于，她顺利来到了总决赛，在实力强劲的阿格玛琳反复的ryona下，美克终于领悟了摔角的真谛。
太空堡垒 第三季,科幻,5.1万,1578,315,1985年3月开播,已完结， 全25话,,《太空堡垒》（英语：Robotech）是一部科幻动画片。1985年，美国公司Harmony Gold（金和声）将三部日本动画作品《超时空要塞》、《超时空骑团》、《机甲创世记》重新编辑成为85集的长篇电视动画，取名“Robotech”。
鲁邦三世：爱的记号~ 不二子不幸的一天,热血+奇幻+时泪,3万,1571,1173,1999年7月开播,已完结， 全1话,栗田贯一、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,“鲁邦三世”是日本动漫界的传奇，有不死传说之喻，漫画作者加藤一彦(Monkey Punch)曾表示，鲁邦三世的冒险精神是他一生追求的，身为漫画家的他，主要的休闲活动就是创作，所有的梦想、幻想都在“鲁邦三世”实现。猴子拳将鲁邦三世塑造成一个让人无法讨厌的怪盗，让读者羡慕鲁邦三世逍遥的生活。鲁邦一行周游于世界各地，不时重操盗窃的老本行。
金属对决 战斗陀螺 ZERO G,热血+少儿,6.1万,1571,667,2012年4月开播,已完结， 全38话,寺島拓篤、内山昂輝、小平有希、岡本信彦、諸星すみれ、子安武人、三宅健太、入野自由、真堂圭,与涅墨西斯的战斗数年后，崇拜银河的以最强陀螺手为目标的新主人公黑银零，在当地不知不觉已经是No.1陀螺手了。零为了测试自己的实力，来到了银河他们的镇子上。而银河已不在那里，集结着的是以明天最强陀螺手为目标的陀螺强手们。　　零立刻与他们开始对战，由于不习惯当地没有的ZERO-G竞技场而陷入苦战。不过由于天生的胆识和天性的直觉，他理解了攻略法并获得了胜利。　　在这样的零面前，会接二连三地站出来怎样的陀螺强手们呢！《金属对决 战斗陀螺 ZERO G》是一套由2012年4月至2012年12月间，于日本小学馆发行杂志所刊登的漫画。2012年4月间改编动画，日本TV版全38话，尚有6话未放送话数收录在DVD第六卷及第七卷。
若草四姐妹,时泪,1.2万,1560,109,1981年4月开播,已完结， 全26话,小山茉美,李子田庄是乔与丈夫弗里兹为了梦想所创办的学校，这里充满了许多很有个性的孩子。有玫格的双胞胎孩子狄米与黛西、小小提琴手纳特、不良少年丹、爱恶作剧的汤米，贪吃鬼史坦佛，还有和乔小时候一样淘气的少女南等等。在李子田庄这里，每一天都充满了许多的冒险与刺激的事情，故事为此而展开。
鲁邦三世：拿破仑词典争夺战,热血+奇幻+时泪,2.4万,1552,705,1991年8月开播,已完结， 全1话,山田康雄、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,　　海湾战争刚刚结束，全世界经济陷入低迷，G7峰会上，经济学家提出了这样的观点：寻找消失的“鲁邦一世帝国的宝藏”，据信这笔宝藏的价值之大，足够缓解各国危机。而这笔宝藏究竟在哪，鲁邦自己也不清楚，他正忙着准备参加老爷车拉力赛……　　本作为鲁邦三世系列第三部TVsp，于1991年8月9日放送 
虽然是玻璃假面 2013版,,19.1万,1553,3631,2013年4月开播,已完结， 全17话,,北岛真夜是个平凡的高中生，是一个贫穷家里的小女孩，与在横滨唐人街面店工作的母亲相依为命，与母亲住在中华料理店的二楼，但她不论功课、运动各方面表现都不好，但真夜十分喜爱戏剧，却很有模仿演出的才能，只要是她看过一次的戏，就可以将全部台词背起来。她获选参与学园祭的戏剧演出机会，但她所饰演的角色（比比）是村里最穷，受人嘲笑的角色，令她感到十分自卑。在一个偶然的机会，真夜遇到了以前著名的演员月影千草，真夜受到月影老师的鼓励，终于敢抬头挺胸的站在舞台上，尽情的表演。从此，真夜在月影老师的提携下，到东京加入她的月影剧团学习演戏，认识了剧团里了青木丽等好朋友，以及另一剧团（奥丁路剧团）的男性好友樱小路优。最终一步步迈向她的演艺生活……
NEXT战记EHRGEIZ,热血+科幻,1.1万,1543,55,1997年10月开播,已完结， 全12话,丹羽紫保里,未来世界，人类开始向宇宙移民，建造了名为”ネクスト”的殖民卫星，但不久地球和殖民地间的矛盾激化，人类分成ネクスト同盟軍、地球政府軍和地球革命組織三大阵营相互杀伐，而战争中的主导兵器则是名为”MV（Metal Vehicle）”的人型机动兵器。主人公ジェイ ストライカー原本是ネクスト同盟軍的MV驾驶员，由于厌倦了战争而和其他同样厌倦战争的人一起在殖民卫星ネクスト7落草为寇，专做打家劫道的营生，有一天却卷入了神秘超兵器”S.A.C”的争夺战中。 
秀逗魔导士 GREAT,战斗+魔法,-,1539,-,1997年8月开播,已完结， 全1话,林原惠美、松本保典、绿川光、铃木真仁、冬马由美,　　史东那城市到处都有因魔力而动的魔偶，在这里的两位伯爵海建与葛拉尼欧正在争夺城镇的主导权。於是两人达成协议要以魔偶对决来决定一切。生在魔偶工匠家族的不幸少女莱雅，因家中父兄两人的不合而伤透脑筋。其父兄两人也莫名地卷入这场城主之争，并且竟然做出莉娜和娜卡的魔偶！究竟史东那城市真正的未来与和平是否真的会到来呢？　　莉娜在结尾被抢走钱币之後，使用「覇王雷撃阵(ダイナスト?ブラス)」取回钱币。
